                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9517,                 3.6648,                 3.8858,                0.00377,                0.75946,                0.01558,                 0.0036,                 2.6002,                 3.8424,                 3.7487,             0.00047147,             0.00047147,             0.00047147
                      2,                 2.5581,                 3.0207,                 3.1861,                 0.4536,                0.25472,                0.12102,                0.03724,                 2.2728,                 5.4081,                 2.7073,             0.00090089,             0.00090089,             0.00090089
                      3,                 2.1985,                 2.6314,                 2.7499,                 0.5958,                0.26129,                0.24759,                0.08607,                 1.7894,                 3.3062,                 2.5184,              0.0012831,              0.0012831,              0.0012831
                      4,                 1.9574,                   2.35,                   2.54,                0.65044,                0.25824,                0.21863,                0.08553,                 1.7492,                 2.9211,                 2.3767,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.8238,                 2.1278,                  2.395,                0.76386,                0.41513,                0.46226,                0.19538,                 1.6361,                 1.7768,                 2.3073,              0.0012168,              0.0012168,              0.0012168
                      6,                   1.74,                 1.9656,                 2.2903,                0.81961,                 0.4707,                0.49534,                0.22251,                 1.5686,                 1.8991,                 2.2172,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.6834,                 1.8285,                 2.2186,                0.80107,                0.51526,                 0.5599,                0.23749,                  1.678,                 1.5504,                 2.2667,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.6424,                  1.744,                 2.1812,                 0.5594,                0.47279,                0.58583,                0.28545,                 1.4584,                  1.322,                 2.1275,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.5851,                 1.6539,                 2.1097,                0.76476,                0.51954,                0.67904,                0.36653,                 1.3576,                 1.3715,                 1.9764,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.5501,                 1.5928,                 2.0798,                0.75086,                0.51071,                0.54933,                0.25103,                 1.3419,                 1.5926,                 2.0069,             0.00086312,             0.00086312,             0.00086312
                     11,                  1.378,                 1.3488,                  2.018,                0.81683,                0.53189,                0.77652,                0.36349,                 1.3242,                 1.2473,                 1.9181,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.3293,                 1.2583,                 1.9466,                0.83561,                0.57448,                0.66477,                0.36586,                 1.1336,                 1.1402,                 1.7512,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.2642,                 1.1771,                 1.8733,                0.81917,                0.62032,                0.80345,                 0.4787,                 1.2151,                 1.0307,                 1.7728,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.2344,                 1.1312,                  1.847,                0.93717,                0.60073,                0.81485,                0.46041,                 1.0873,                0.94319,                 1.7188,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.2076,                 1.1382,                 1.8317,                0.80482,                0.64036,                0.86067,                 0.5202,                 1.1496,                0.96388,                 1.7461,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.1588,                 1.0462,                 1.7775,                 0.8511,                0.59539,                0.88525,                0.45461,                 1.0463,                0.95508,                 1.6623,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.1155,                 1.0311,                 1.7299,                0.87871,                0.59978,                0.94818,                0.54891,                0.97133,                 0.8983,                 1.5805,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.0984,                 1.0107,                 1.7195,                0.87778,                0.55128,                0.94386,                0.52184,                 1.0998,                 1.0326,                 1.6884,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.0773,                0.96993,                 1.7016,                0.88463,                0.61661,                0.96225,                0.57475,                0.98993,                0.84139,                 1.5661,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.0519,                0.94715,                 1.6734,                0.86528,                0.61048,                0.96187,                0.55986,                0.93361,                0.87699,                 1.5373,             0.00015576,             0.00015576,             0.00015576
